event_id,student_id,event_date,course_category,completion_pct,time_spent_minutes,status
EVT-93810,6967,02/21/2024,Engineering,37.5,81,completed
EVT-24592,8066,2024-09-26,Engineering,95.1,414,completed
EVT-13278,2146,08/21/2024,Engineering,73.2,362,in_progress
EVT-46048,6409,01/08/2024,Design,59.9,380,completed
EVT-42098,6143,2024-03-14,Design,15.6,50,completed
EVT-39256,3041,2024-07-28,Security,15.6,266,in_progress
EVT-28289,5920,12/01/2024,Business,5.8,391,completed
EVT-23434,9308,2024-03-20,Business,86.6,187,in_progress
EVT-98696,6067,2024-02-08,Data,60.1,37,completed
EVT-81482,7691,2024-08-28,Data,70.8,60,in_progress
EVT-21395,6344,2024-05-15,Engineering,2.1,233,completed
EVT-87397,7592,2024-06-22,Security,97.0,128,in_progress
EVT-65302,5844,2024-11-15,Design,83.2,439,completed
EVT-14165,3085,12/20/2024,Engineering,21.2,48,in_progress
EVT-13905,4143,2024-07-22,Data,18.2,184,completed
EVT-22280,7888,2024-11-28,Business,18.3,319,completed
EVT-38657,7211,February 11 2024,Design,30.4,403,completed
EVT-40495,3851,2024-06-17,Data,52.5,324,in_progress
EVT-76237,5930,December 11 2024,Data,43.2,314,in_progress
EVT-88907,7653,2024-09-30,Business,29.1,213,in_progress
EVT-13478,9977,07/13/2024,Security,61.2,406,completed
EVT-83563,1006,2024-06-11,Design,13.9,177,completed
EVT-36062,5978,2024-11-16,Data,29.2,25,completed
EVT-95181,5700,2024-09-06,Security,36.6,334,completed
EVT-81426,4443,2024-10-04,Data,45.6,149,dropped
EVT-64987,8043,2024-01-19,Security,78.5,411,completed
EVT-38893,6279,2024-11-12,Engineering,20.0,240,completed
EVT-68878,8618,February 05 2024,Engineering,51.4,261,dropped
EVT-87236,8238,04/30/2024,Business,59.2,126,completed
EVT-46463,8244,2024-11-19,Security,4.6,192,dropped
EVT-10851,4501,12/16/2024,Design,60.8,293,in_progress
EVT-30926,9375,2024-05-27,Design,17.1,202,completed
EVT-65392,8752,04/26/2024,Design,6.5,231,in_progress
EVT-54597,3780,02/16/2024,Design,94.9,105,completed
EVT-46421,2389,2024-08-10,Design,96.6,358,completed
EVT-30379,5649,02/20/2024,Design,80.8,309,completed
EVT-38221,9445,2024-11-20,Data,30.5,348,completed
EVT-54118,6491,December 26 2024,Engineering,9.8,204,in_progress
EVT-23396,2530,02/21/2024,Data,68.4,53,completed
EVT-22156,4848,2024-08-15,Design,,405,completed
EVT-59797,6085,2024-03-26,Engineering,12.2,326,completed
EVT-22676,4680,2024-12-21,Security,49.5,161,completed
EVT-57052,4262,2024-06-02,Security,3.4,418,in_progress
EVT-55082,3414,2024-01-15,Business,90.9,136,completed
EVT-89131,1400,01/24/2024,Design,25.9,375,completed
EVT-44671,1757,2024-06-15,Engineering,66.3,47,completed
EVT-15695,5011,January 29 2024,Business,31.2,52,completed
EVT-70217,8784,05/30/2024,Security,52.0,147,completed
EVT-80284,2193,2024-07-02,Design,54.7,88,completed
EVT-26361,8461,07/10/2024,Engineering,18.5,204,in_progress
EVT-59615,7790,08/08/2024,Data,97.0,374,in_progress
EVT-20328,4185,03/15/2024,Design,77.5,411,completed
EVT-82357,7291,May 05 2024,Design,93.9,334,in_progress
EVT-48427,9099,09/28/2024,Business,89.5,88,completed
EVT-92397,7547,July 29 2024,Business,59.8,388,in_progress
EVT-91070,4997,2024-10-16,Engineering,92.2,209,completed
EVT-57400,3417,December 15 2024,Security,8.8,172,completed
EVT-85674,1090,2024-04-02,Engineering,19.6,194,completed
EVT-35203,2746,2024-03-28,Design,4.5,64,in_progress
EVT-19116,7965,2024-03-30,Business,32.5,56,in_progress
EVT-16006,4585,02/10/2024,Data,38.9,12,completed
EVT-96673,3881,11/08/2024,Design,27.1,167,dropped
EVT-39871,9486,07/14/2024,Design,82.9,237,completed
EVT-47930,8611,2024-11-13,Design,35.7,194,completed
EVT-20458,1822,2024-12-15,Engineering,28.1,399,in_progress
EVT-40512,5082,2024-05-03,Design,54.3,148,in_progress
EVT-23238,2988,2024-09-11,Business,14.1,62,completed
EVT-59823,8478,2024-10-25,Design,80.2,77,dropped
EVT-46434,3184,2024-03-14,Security,7.5,54,in_progress
EVT-69429,8612,04/28/2024,Business,98.7,105,completed
EVT-93320,9702,August 24 2024,Business,77.2,230,completed
EVT-57819,6198,2024-11-22,Design,19.9,239,completed
EVT-31319,8251,05/10/2024,Design,0.6,295,completed
EVT-58520,9270,2024-08-23,Security,81.5,294,completed
EVT-56566,7991,05/10/2024,Design,70.7,272,in_progress
EVT-37460,9976,December 07 2024,Engineering,72.9,218,in_progress
EVT-97841,8305,01/05/2024,Security,77.1,62,in_progress
EVT-44993,3607,2024-08-26,Design,7.4,23,in_progress
EVT-99593,8777,May 27 2024,Design,35.8,55,completed
EVT-94939,8373,12/12/2024,Design,11.6,191,completed
EVT-19358,5246,2024-10-06,Business,86.3,293,in_progress
EVT-89840,5050,03/21/2024,Security,62.3,57,completed
EVT-93227,5543,02/07/2024,Business,33.1,315,dropped
EVT-32431,9540,August 14 2024,Security,,316,completed
EVT-80010,8939,2024-06-25,Engineering,31.1,411,completed
EVT-42087,4919,October 27 2024,Design,32.5,176,dropped
EVT-31417,5499,June 02 2024,Security,73.0,452,completed
EVT-70589,8206,November 23 2024,Engineering,63.8,207,dropped
EVT-59735,2269,2024-08-05,Engineering,88.7,16,dropped
EVT-45382,5681,12/19/2024,Security,47.2,159,in_progress
EVT-93886,4841,2024-05-08,Security,12.0,221,completed
EVT-83000,5451,08/21/2024,Business,71.3,208,in_progress
EVT-38785,6502,June 03 2024,Business,76.1,408,in_progress
EVT-99733,6238,04/11/2024,Business,56.1,53,completed
EVT-52504,9849,07/15/2024,Design,77.1,381,completed
EVT-17331,2320,2024-09-04,Design,49.4,471,completed
EVT-40021,3267,February 24 2024,Design,52.3,296,completed
EVT-14207,3471,2024-05-01,Security,42.8,473,completed
EVT-51347,4788,07/14/2024,Business,2.5,134,completed
EVT-62581,7275,10/19/2024,Engineering,10.8,302,completed
EVT-34931,3503,2024-07-02,Design,3.1,276,in_progress
EVT-18675,4505,10/21/2024,Design,63.6,96,in_progress
EVT-37653,2052,2024-05-31,Security,31.4,360,completed
EVT-84341,7797,2024-12-24,Engineering,50.9,204,completed
EVT-51245,7678,05/31/2024,Engineering,90.8,96,completed
EVT-37869,6421,2024-01-12,Business,24.9,81,completed
EVT-95909,9890,2024-12-03,Data,41.0,147,completed
EVT-75435,8633,July 21 2024,Data,75.6,164,completed
EVT-61856,7812,May 20 2024,Security,22.9,147,completed
EVT-94259,2020,01/05/2024,Data,7.7,262,completed
EVT-70142,4388,2024-10-16,Security,29.0,84,completed
EVT-28726,7883,2024-12-17,Business,16.1,42,completed
EVT-44718,7381,01/26/2024,Business,93.0,95,completed
EVT-28301,1320,November 06 2024,Engineering,80.8,232,in_progress
EVT-42325,7232,2024-09-11,Security,63.3,151,completed
EVT-83579,8814,05/26/2024,Engineering,87.1,225,completed
EVT-80644,1096,04/27/2024,Design,80.4,163,completed
EVT-44438,6763,2024-11-06,Engineering,18.7,257,completed
EVT-86622,5892,06/29/2024,Data,89.3,410,in_progress
EVT-66155,7389,2024-04-22,Business,53.9,49,completed
EVT-86484,7865,11/21/2024,Engineering,80.7,194,completed
EVT-62350,9818,04/07/2024,Data,89.6,138,completed
EVT-57447,9947,2024-11-13,Security,31.8,136,completed
EVT-38746,4613,2024-05-08,Engineering,,379,in_progress
EVT-28131,8999,12/13/2024,Engineering,22.8,330,in_progress
EVT-76784,4595,December 03 2024,Data,42.7,263,completed
EVT-74686,5471,December 14 2024,Engineering,81.8,314,completed
EVT-21915,8140,March 11 2024,Design,86.1,325,completed
EVT-16175,8956,2024-11-17,Business,0.7,110,completed
EVT-24371,1475,02/19/2024,Data,51.1,244,completed
EVT-30033,7371,11/17/2024,Security,41.7,64,completed
EVT-92240,6507,2024-11-26,Security,22.2,79,completed
EVT-30969,7624,2024-01-21,Data,12.0,165,completed
EVT-99192,3704,June 07 2024,Business,33.8,13,in_progress
EVT-65333,8657,2024-08-13,Security,94.3,212,dropped
EVT-88172,3091,01/18/2024,Design,32.3,180,completed
EVT-18326,9751,2024-10-23,Business,51.9,440,completed
EVT-60432,1441,July 05 2024,Business,70.3,327,completed
EVT-60019,7455,2024-03-08,Engineering,36.4,204,in_progress
EVT-88104,1444,2024-02-16,Engineering,97.2,421,completed
EVT-71348,2375,05/31/2024,Data,96.2,451,completed
EVT-79352,8022,06/16/2024,Business,25.2,178,in_progress
EVT-42953,3223,07/31/2024,Business,49.7,235,completed
EVT-82512,8564,03/30/2024,Engineering,30.1,181,completed
EVT-11504,3977,04/12/2024,Business,28.5,230,in_progress
EVT-99166,1823,03/08/2024,Security,3.7,427,completed
EVT-25014,5262,October 03 2024,Data,61.0,431,completed
EVT-99353,7211,07/06/2024,Security,50.3,450,completed
EVT-80381,6363,09/28/2024,Design,5.1,343,completed
EVT-44973,4467,2024-09-13,Security,27.9,314,in_progress
EVT-94012,8449,2024-05-19,Security,90.8,79,completed
EVT-54587,6355,03/25/2024,Data,24.0,163,dropped
EVT-24621,6529,05/11/2024,Security,14.5,174,completed
EVT-48469,7211,September 03 2024,Business,,318,in_progress
EVT-66985,5558,05/31/2024,Data,98.6,365,in_progress
EVT-30730,7906,2024-06-22,Business,24.2,112,completed
EVT-69470,5133,2024-02-28,Security,67.2,255,completed
EVT-10425,2341,08/27/2024,Engineering,76.2,170,completed
EVT-44522,8705,February 08 2024,Data,23.8,100,completed
EVT-75612,1317,03/13/2024,Engineering,72.8,213,completed
EVT-33416,9837,04/25/2024,Business,36.8,173,in_progress
EVT-76542,1853,12/12/2024,Security,63.2,159,in_progress
EVT-23947,6733,2024-12-11,Engineering,63.4,386,completed
EVT-91959,4673,2024-07-22,Design,53.6,365,completed
EVT-49117,2124,October 12 2024,Business,9.0,334,completed
EVT-93748,1659,07/06/2024,Design,83.5,261,completed
EVT-76540,1508,February 16 2024,Security,32.1,304,completed
EVT-89818,5051,2024-07-21,Data,18.7,410,in_progress
EVT-36071,4266,01/08/2024,Design,4.1,134,completed
EVT-30032,1333,05/15/2024,Engineering,,176,completed
EVT-59009,3496,2024-10-01,Security,67.8,202,completed
EVT-31174,4908,03/04/2024,Engineering,1.7,153,completed
EVT-80697,3068,08/20/2024,Business,51.2,428,in_progress
EVT-79514,8758,07/07/2024,Business,22.6,412,completed
EVT-10074,2874,2024-12-10,Business,64.5,211,completed
EVT-88504,4571,2024-12-10,Data,17.4,196,completed
EVT-52487,8619,2024-05-14,Engineering,69.1,68,completed
EVT-74042,5198,10/26/2024,Engineering,38.7,298,dropped
EVT-12552,7043,July 14 2024,Business,93.7,112,completed
EVT-24662,3749,2024-11-22,Data,13.8,313,completed
EVT-57576,2876,2024-07-09,Business,34.1,289,completed
EVT-50306,3683,2024-02-25,Business,11.3,102,completed
EVT-41385,6096,December 11 2024,Design,92.5,359,dropped
EVT-17592,2771,04/29/2024,Design,87.7,403,dropped
EVT-41571,1420,08/29/2024,Engineering,25.8,291,completed
EVT-84364,6111,2024-01-13,Design,66.0,23,completed
EVT-20322,7149,2024-11-13,Data,81.7,382,in_progress
EVT-21226,7498,2024-10-14,Security,55.5,246,in_progress
EVT-73699,4249,2024-06-16,Design,53.0,372,completed
EVT-19071,2245,11/08/2024,Security,24.2,117,completed
EVT-79822,4978,April 23 2024,Data,9.3,234,completed
EVT-26483,2669,2024-11-27,Engineering,89.7,418,completed
EVT-26828,5941,February 02 2024,Design,90.0,159,completed
EVT-96474,2983,November 21 2024,Engineering,63.3,435,completed
EVT-72296,1672,August 25 2024,Engineering,33.9,364,completed
EVT-82063,6688,December 24 2024,Design,34.9,45,dropped
EVT-31643,9728,2024-06-03,Design,,429,dropped
EVT-44741,8018,2024-11-28,Engineering,89.7,444,completed
EVT-79163,7071,2024-07-28,Engineering,88.7,417,completed
EVT-89507,2129,2024-02-29,Engineering,,417,completed
EVT-65461,9289,2024-03-12,Business,64.2,219,in_progress
EVT-37760,6590,2024-01-24,Design,8.4,354,completed
EVT-80686,1207,2024-01-20,Data,16.2,265,completed
EVT-36365,7882,2024-06-04,Business,,81,completed
EVT-50857,9031,09/09/2024,Security,60.6,334,completed
EVT-62296,2729,2024-02-29,Security,0.9,165,dropped
EVT-98039,8102,2024-02-19,Business,10.1,133,completed
EVT-95180,6934,2024-04-30,Business,66.4,139,completed
EVT-58944,8532,October 02 2024,Business,0.5,347,dropped
EVT-67422,3506,2024-03-10,Security,16.1,88,completed
EVT-77839,8135,July 17 2024,Engineering,54.9,376,completed
EVT-69177,3885,08/20/2024,Engineering,69.2,226,completed
EVT-25860,9548,2024-07-08,Security,65.2,414,completed
EVT-42493,5425,12/09/2024,Design,22.4,203,completed
EVT-39451,9817,December 22 2024,Design,71.2,47,completed
EVT-18392,8921,2024-10-03,Security,23.7,239,completed
EVT-54313,8616,2024-08-02,Engineering,32.5,316,completed
EVT-12757,8136,2024-10-27,Business,74.6,255,completed
EVT-87110,5397,March 20 2024,Security,65.0,308,completed
EVT-82603,6280,07/31/2024,Business,84.9,215,completed
EVT-40161,5022,2024-12-01,Security,65.8,283,completed
EVT-87128,2419,02/20/2024,Security,56.8,269,in_progress
EVT-38864,5569,2024-09-07,Business,9.4,455,completed
EVT-10942,8385,2024-11-11,Business,36.8,364,completed
EVT-19305,4995,2024-07-27,Design,26.5,224,in_progress
