Story_ID,Story_Short,Reach_K,Impact,Confidence_Pct,Effort_PW,RICE_Raw,Dependency,RICE_Adjusted,Priority,Rationale_Top5,Confidence_Evidence_Gap
S1,Confidence indicator on product page (core AI),187,4,80%,13,46.1,none — schedulable now,46.1,P0,"Prerequisite for all other stories; RICE is depressed by high effort (13pw) but this is the only story that unblocks the entire backlog — must be scheduled first regardless of raw rank","Calibration: can the model hit High≥85% accuracy? Evidence gap: no A/B data yet. Confidence would rise to 100% after a 4-week pilot in 1–2 stores."
S7,Fallback to binary status when unavailable,187,3,100%,3,187.0,ships-with-S1,187.0,P0,"Ships as part of S1 delivery package — defines the degraded-state behaviour required for S1 to be shippable at all; if fallback is wrong (shows stale In Stock), the feature causes more harm than the problem it solves",n/a — requirement is certain; 100% confidence is correct
S4,Warning modal before reserving at Low,30,3,80%,3,24.0,ships-with-S1,24.0,P0,"Ships with S1; prevents the core failure mode — shopper drives to store for nothing — for sessions that see Low confidence; safety requirement; WCAG accessibility baked in per patched AC","80% confidence: modal behaviour is well-understood; remaining 20% is uncertainty on how many sessions will see Low confidence (depends on model calibration)"
S2,Alternative stores at Low confidence,30,4,50%,4,15.0,blocked-by-S1 → RICE zeroed until S1 live,0.0,P0,"Blocks on S1 calibration data; do not schedule until 4 weeks of S1 data shows what % of sessions trigger Low and how many have a ≥Medium alternative within 30km; highest Impact of all dependent stories","Evidence gap: what fraction of Low sessions have a better-confidence alternative within 30km? Upgrade to 80% after 4 weeks of S1 calibration data."
S3,Velocity signal — same-day POS in model,50,3,50%,6,12.5,part of S1 model scope,12.5,P0,"Model-layer enhancement included in S1 delivery scope; Confidence=50% because predictive power of same-day POS velocity at store-SKU level is unproven before offline experimentation on historical POS data","Evidence gap: does same-day sell-through rate improve model MAPE by ≥5% on held-out test? Run offline experiment on 6 months of POS history before including in S1 model. Upgrade to 80% if offline lift is confirmed."
S9,Accessibility — screen reader support,2.5,5,100%,1,12.5,bake into S4 delivery,12.5,P1,Bake into S4 (1pw incremental); WCAG 2.1 AA is a legal requirement in EU consumer-protection markets — treat as quality attribute of S4 not a standalone backlog item; Reach understates compliance risk,n/a — legal requirement; 100% confidence is correct
S8,Store map with confidence indicators,50,2,50%,5,10.0,blocked-by-S1,0.0,P1,Post-S1 enhancement; schedule after analytics confirm what % of C&C sessions use the store-selector map before committing to 5pw,"Evidence gap: what % of C&C sessions touch the store-selector map UI? Pull from analytics. If <10% of sessions, Confidence drops to 10%. Upgrade to 80% if analytics confirm ≥20% usage."
S6,Signal recency timestamp,187,1,100%,1,187.0,after-S1 → RICE zeroed until S1 live,0.0,P1,Quick win (1pw) but only meaningful after S1 ships; schedule in the sprint immediately after S1 launch; RICE=187 is inflated by low effort — do not let this crowd out S1 in sprint planning,n/a — trivial to implement; 100% confidence is correct
S5,Home delivery fallback when all stores Low,10,2,50%,3,3.3,blocked-by-S1 + blocked-by-S2,0.0,P1,Requires S1 and S2; whether Low-confidence shoppers will switch to home delivery is unproven; requires checkout integration (scope risk); schedule after S2 ships and conversion data is available,"Evidence gap: do shoppers shown a Low + no-alternatives state choose home delivery or abandon? Need A/B data post-S2. Upgrade to 80% if post-S2 data shows ≥15% of those shoppers convert via home delivery."
S11,Log confidence score at reservation,187,1,100%,1,187.0,after-S1 → RICE zeroed until S1 live,0.0,P2,Quick win alongside S6; enables post-hoc calibration analysis and model improvement; schedule in same sprint as S6 after S1 launch; zeroed in RICE_Adjusted until S1 ships,n/a — logging requirement; 100% confidence is correct
S10,Ops monitoring — store-SKU Low signal audit,0.02,2,50%,4,0.005,blocked-by-S1,0.0,P2,RICE near zero (Reach=20 ops managers); indirect value (model calibration improvement for 187K users) not captured by RICE; review after 90 days of S1 data when ops team can articulate exact requirements,"Evidence gap: will ops managers act on the data? Confidence drops to 10% (revised from 50%) — no falsifiable upgrade condition can be stated before seeing how ops teams respond to S1's first 90 days. Icebox until then."
,,,,,,,,,,,,
NOTE — ADVERSARIAL CRITIQUE,,,,,,,,,,,,
"Critique 1 (highest-score row): S6+S11+S7 all score 187 because low Effort drives the formula — a 1pw ticket trivially outscores a 13pw strategic feature. S6 and S11 are garnish before the meal: useful only after S1 ships. Fix applied: RICE_Adjusted = 0 for any story blocked by an unshipped dependency. S7 remains at 187 because it ships WITH S1 as a required companion. S1 at 46.1 is now the undisputed schedulable #1.",,,,,,,,,,,,
"Critique 2 (lowest-confidence rows): Five stories shared Confidence=50% with no differentiation — Confidence added zero information to the scoring. Fix applied: each 50% story now has an explicit evidence gap and a falsifiable upgrade condition. S10 revised from 50% to 10% (no falsifiable upgrade condition possible before 90 days of S1 data); moved to icebox. All remaining 50% stories document what data would move them to 80%.",,,,,,,,,,,,
"Dependency sequencing: Ship in this order — Sprint 1: S1+S7+S4+S3+S9 (package). Sprint 2: S6+S11 (1pw each). Sprint 3+: S2 (after S1 calibration data). Sprint 4+: S8+S5 (after analytics and S2 data). Icebox: S10.",,,,,,,,,,,,
