order_id,customer_id,region,order_date,product_category,amount,quantity,status
ORD-93810,3041,South,2024-01-20,Clothing,190.4,9,completed
ORD-24592,5920,East,05/01/2024,Food,475.6,1,completed
ORD-13278,9308,North,01/06/2024,Clothing,367.34,1,completed
ORD-46048,6067,South,17/10/2024,Home,301.34,1,returned
ORD-42098,7691,West,2024-11-04,Food,82.23,4,completed
ORD-39256,6344,South,24/02/2024,Food,82.22,1,completed
ORD-28289,7592,East,2024-06-20,Clothing,33.75,8,completed
ORD-23434,5844,East,2024-05-25,Sports,433.76,6,completed
ORD-98696,3085,West,2024-08-20,Food,302.55,7,completed
ORD-81482,4143,West,2024-11-24,Sports,355.5,3,completed
ORD-21395,7888,West,05/10/2024,Clothing,15.19,3,completed
ORD-87397,7211,South,25/09/2024,Sports,485.11,1,completed
ORD-65302,3851,South,09/09/2024,Sports,417.06,9,returned
ORD-14165,5930,East,Mar 09 2024,Food,110.11,7,returned
ORD-13905,7653,West,2024-09-15,Clothing,95.0,4,completed
ORD-22280,9977,West,27/08/2024,Clothing,,6,completed
ORD-38657,1006,North,19/05/2024,Food,155.6,4,completed
ORD-40495,5978,North,2024-04-08,Sports,264.75,7,completed
ORD-76237,5700,East,2024-02-27,Sports,218.81,6,completed
ORD-88907,4443,West,18/06/2024,Sports,149.16,5,completed
ORD-13478,8043,West,2024-03-24,Electronics,307.87,2,completed
ORD-83563,6279,East,2024-08-22,Clothing,74.05,10,completed
ORD-36062,8618,South,27/11/2024,Home,149.61,6,completed
ORD-95181,8238,North,2024-05-11,Sports,186.35,2,completed
ORD-81426,8244,East,05/04/2024,Food,230.75,9,completed
ORD-64987,4501,West,2024-01-08,Electronics,393.66,1,completed
ORD-38893,9375,South,2024-06-21,Sports,103.84,3,completed
ORD-68878,8752,East,2024-05-31,Sports,259.55,4,completed
ORD-87236,3780,West,2024-10-17,Clothing,,9,completed
ORD-46463,2389,North,2024-12-11,Home,27.99,1,returned
ORD-10851,5649,West,08/04/2024,Clothing,305.73,7,completed
ORD-30926,9445,South,2024-03-30,Sports,89.41,2,completed
ORD-65392,6491,South,2024-11-08,Electronics,,8,completed
ORD-54597,2530,North,2024-11-23,Food,474.7,5,returned
ORD-46421,4848,East,2024-07-26,Sports,482.99,5,returned
ORD-10942,6085,East,Aug 06 2024,Clothing,405.16,6,completed
ORD-38221,4680,West,2024-09-20,Food,155.78,2,returned
ORD-54118,4262,North,16/06/2024,Clothing,53.35,9,completed
ORD-23396,3414,North,2024-02-14,Electronics,343.7,8,completed
ORD-22156,1400,West,2024-07-24,Electronics,,1,completed
ORD-59797,1757,East,2024-12-08,Food,65.41,6,completed
ORD-22676,5011,North,18/02/2024,Clothing,250.11,4,completed
ORD-57052,8784,West,04/04/2024,Sports,22.02,5,returned
ORD-55082,2193,North,2024-03-12,Clothing,455.11,10,completed
ORD-89131,8461,South,2024-09-01,Electronics,133.1,5,pending
ORD-44671,7790,South,14/06/2024,Sports,332.95,10,completed
ORD-15695,4185,South,07/05/2024,Sports,159.3,4,returned
ORD-70217,7291,North,04/01/2024,Home,262.43,8,completed
ORD-80284,9099,West,May 13 2024,Home,275.62,6,completed
ORD-26361,7547,West,2024-07-15,Electronics,96.5,10,completed
ORD-59615,4997,East,2024-04-30,Clothing,484.94,8,completed
ORD-20328,3417,North,16/08/2024,Sports,388.69,4,completed
ORD-82357,1090,South,16/05/2024,Home,470.05,9,returned
ORD-48427,2746,South,17/06/2024,Electronics,447.94,4,completed
ORD-92397,7965,East,Jun 03 2024,Home,300.96,3,completed
ORD-91070,4585,East,2024-10-25,Food,461.33,1,returned
ORD-57400,3881,South,20/10/2024,Electronics,-48.8,7,returned
ORD-85674,9486,South,06/01/2024,Electronics,102.01,1,completed
ORD-35203,8611,West,2024-05-13,Clothing,27.39,4,completed
ORD-19116,1822,North,2024-11-30,Sports,166.04,9,completed
ORD-16006,5082,South,2024-07-03,Food,197.4,6,completed
ORD-96673,2988,South,2024-12-20,Home,139.32,1,completed
ORD-39871,8478,North,2024-04-30,Food,415.23,6,returned
ORD-47930,3184,East,2024-02-01,Electronics,-181.59,1,returned
ORD-20458,8612,East,2024-12-07,Clothing,144.06,7,completed
ORD-40512,9702,West,01/03/2024,Clothing,273.63,5,completed
ORD-23238,6198,South,2024-08-26,Electronics,74.76,2,returned
ORD-59823,8251,West,Jun 06 2024,Food,402.09,4,returned
ORD-46434,9270,East,22/03/2024,Home,41.9,9,completed
ORD-69429,7991,South,2024-07-26,Food,493.51,4,completed
ORD-93320,9976,East,17/12/2024,Electronics,387.26,7,returned
ORD-57819,8305,East,2024-09-14,Sports,103.36,8,completed
ORD-31319,3607,East,2024-12-26,Food,7.73,1,completed
ORD-58520,8777,North,2024-06-08,Electronics,408.65,3,returned
ORD-56566,8373,East,2024-12-19,Food,354.89,5,completed
ORD-37460,5246,South,Mar 01 2024,Clothing,365.86,2,completed
ORD-97841,5050,West,2024-11-23,Electronics,386.78,1,completed
ORD-44993,5543,South,May 31 2024,Food,41.65,4,completed
ORD-99593,9540,West,2024-07-07,Home,182.44,9,completed
ORD-94939,8939,East,2024-11-10,Clothing,62.36,7,completed
ORD-19358,4919,South,Apr 23 2024,Food,,6,completed
ORD-89840,5499,East,22/04/2024,Home,313.53,8,returned
ORD-93227,8206,East,09/03/2024,Electronics,168.79,2,completed
ORD-32431,2269,East,2024-09-01,Sports,36.46,10,completed
ORD-80010,5681,East,19/03/2024,Electronics,158.94,2,completed
ORD-42087,4841,East,20/08/2024,Food,,9,returned
ORD-31417,5451,West,2024-11-06,Food,366.16,3,completed
ORD-70589,6502,East,2024-07-10,Sports,320.59,7,completed
ORD-59735,6238,West,2024-07-31,Food,444.17,2,completed
ORD-45382,9849,East,2024-12-25,Clothing,238.75,10,completed
ORD-93886,2320,South,08/10/2024,Food,64.2,10,completed
ORD-83000,3267,South,29/08/2024,Home,358.06,1,completed
ORD-38785,3471,East,Oct 02 2024,Sports,381.59,7,pending
ORD-99733,4788,East,06/12/2024,Clothing,282.83,3,returned
ORD-52504,7275,North,2024-04-21,Electronics,386.63,4,completed
ORD-17331,3503,South,2024-05-06,Home,249.43,5,completed
ORD-40021,4505,East,14/12/2024,Clothing,263.75,5,completed
ORD-14207,2052,North,2024-11-01,Home,216.63,6,completed
ORD-51347,7797,North,Feb 11 2024,Home,17.58,7,completed
ORD-62581,7678,East,2024-09-26,Home,58.41,6,completed
ORD-30033,6421,West,Aug 16 2024,Home,20.56,6,completed
ORD-18675,9890,East,2024-09-27,Clothing,320.02,8,completed
ORD-37653,8633,West,26/12/2024,Electronics,160.61,5,returned
ORD-84341,7812,West,2024-07-04,Food,256.74,4,completed
ORD-51245,2020,South,09/02/2024,Sports,454.25,2,completed
ORD-37869,4388,West,Oct 15 2024,Electronics,128.4,4,completed
ORD-95909,7883,South,2024-02-27,Home,208.14,3,completed
ORD-75435,7381,West,01/02/2024,Food,379.0,10,returned
ORD-61856,1320,East,Oct 07 2024,Home,118.26,2,completed
ORD-94259,7232,South,2024-09-15,Home,43.11,3,pending
ORD-70142,8814,North,Apr 13 2024,Sports,148.43,2,completed
ORD-28726,1096,West,20/10/2024,Electronics,84.8,3,completed
ORD-44718,6763,North,01/10/2024,Home,465.2,8,completed
ORD-28301,5892,West,2024-03-17,Food,405.02,8,completed
