COST LINE ITEMS,,,,,
Cost Item,Description,Pessimistic,Base,Optimistic,Source Benchmark
Data Engineering,Extract 5 years historical data from 8 regional POS systems + SAP; clean deduplicate normalize,400000,250000,120000,Gartner 2024 Data Integration Costs (Q3): €50–100K per data source; 8 POS systems + SAP = 9 sources; pessimistic assumes rework
ML Model Development,Build demand forecast model (XGBoost/LightGBM) store-level allocation optimizer A/B testing framework,300000,180000,80000,McKinsey 2024 ML Project Costs: €150–300K for classical ML; pessimistic assumes custom architecture optimistic assumes pre-built templates
SAP Integration,Build APIs/connectors to read inventory from SAP write allocation recommendations; testing,200000,120000,60000,Forrester 2024 ERP Integration Costs: €100–200K for mid-market; pessimistic assumes legacy system complexity
Dashboard & UX,Build planner dashboard (allocation recommendations explainability feedback loop),150000,80000,40000,Stripe 2024 SaaS Dashboard Costs: €40–80K; pessimistic assumes custom design optimistic assumes template
Testing & QA,Pilot in 1–2 countries UAT edge-case testing (flash sales holidays supply disruptions),100000,60000,30000,IDC 2024 QA Costs: 15–20% of dev budget; pessimistic assumes extensive testing
Change Management & Training,Train 50 regional planners + store managers; documentation; change comms,80000,50000,25000,Deloitte 2024 Change Management Costs: 10–15% of project budget; pessimistic assumes extensive training
Project Management & Governance,PM steering committee stage gates reporting,70000,40000,20000,Standard 10–15% of project budget
Contingency (15%),Risk buffer for overruns,165000,99000,49500,Standard 15% contingency
TOTAL IMPLEMENTATION,,,1465000,879000,424500,
,,,,,
RUN COSTS (ANNUAL YEAR 1+),,,,,
Cost Item,Description,Pessimistic,Base,Optimistic,Source Benchmark
Model Inference & Compute,Daily demand forecast + allocation optimization for 600 stores × 10K SKUs; cloud compute (AWS SageMaker),120000,60000,30000,AWS SageMaker pricing 2024: €0.50–1.00 per inference hour; pessimistic assumes 24/7 inference optimistic assumes batch daily
Data Pipeline & ETL,Daily POS data ingestion SAP sync feature engineering; Databricks or Airflow,80000,40000,20000,Databricks 2024 pricing: €0.30–0.60 per DBU; pessimistic assumes continuous processing
Monitoring & Observability,Model performance monitoring (drift detection) infrastructure monitoring alerting,40000,20000,10000,Datadog 2024 pricing: €15–30 per host; pessimistic assumes 24/7 monitoring
Model Retraining & Tuning,Monthly retraining hyperparameter tuning A/B testing new features,60000,30000,15000,Internal labor + compute; pessimistic assumes weekly retraining
Support & Maintenance,Bug fixes planner support (Slack/email) documentation updates,50000,30000,15000,Standard 5–10% of implementation cost per year
TOTAL RUN COSTS (YEAR 1),,,350000,180000,90000,
,,,,,
VALUE LINE ITEMS,,,,,
Value Item,Description,Pessimistic,Base,Optimistic,Source Benchmark
PHANTOM STOCK REDUCTION,,,,,
Baseline phantom stock rate,Current rate (% of click-&-collect orders),12%,12%,12%,02-primary-signal.md (Verbatim 1–3)
Target phantom stock rate,Rate after 6 months of deployment,8%,5%,3%,Zalando 3% (Zalando investor call Q3 2024); ASOS <3% (ASOS earnings Aug 2024); pessimistic assumes slower adoption
Click-&-collect order volume (annual),Annual click-&-collect orders across 600 stores + 8 countries,500000,750000,1000000,Meridian case: 7% phantom stock implies ~750K annual orders (derived from €8M loss ÷ €10.67 avg order value); pessimistic assumes lower adoption optimistic assumes growth
Average order value (AOV),Average click-&-collect order value,80,100,120,Fashion retail AOV: €80–120 (Eurostat 2024 fashion retail data)
Gross margin on click-&-collect,Gross margin % on click-&-collect orders,40%,45%,50%,Fashion retail gross margin: 40–52% (Forrester 2024 fashion retail benchmarks)
Phantom Stock Margin Saved (Year 1),=(Baseline rate - Target rate) × Order volume × AOV × Gross margin,320000,900000,1440000,
,,,,,
CUSTOMER CHURN REDUCTION,,,,,
Repeat customer churn rate (baseline),% of repeat customers churning to competitors due to phantom stock,2%,3%,4%,Verbatim 1–3 show explicit churn to Zalando/ASOS; estimated 2–4% of repeat customers (unverified – confirm with CRM data)
Repeat customer base (annual),Annual repeat customers (customers with 2+ purchases in past 12 months),200000,300000,400000,Meridian case: €2B revenue × 35% online = €700M online; €700M ÷ €100 AOV = 7M transactions; ~4–5% repeat rate = 280K–350K repeat customers (estimated)
