#,Element,Type,STRIDE,Threat (summary),Likelihood,L Rationale,Impact,I Rationale,Severity,Notes
T-01,End User,External entity,Spoofing,Session cookie replay — attacker reuses stolen cookie to place orders as a real user,M,Session hijacking is a known technique but requires first obtaining a valid cookie via XSS or device access — not a zero-click attack,M,Attacker impersonates one specific user; financial and reputational harm per account but contained blast radius,Medium,Fix: bind sessions to device fingerprint; short-lived signed tokens
T-02,End User,External entity,Repudiation,Order repudiation — user claims never placed order to trigger chargeback; no signed audit trail,L,Active repudiation attacks are rare; chargebacks do occur but are typically individual not coordinated,M,Financial loss per chargeback; legal risk; no data breach; limited to disputes on individual orders,Low,Fix: log signed client IP + timestamp on every order event
T-03,Load Balancer,Process,Tampering,LB strips X-Forwarded-For — all downstream per-IP rate-limiting and forensic attribution silently fail,L,Requires an LB misconfiguration (operator error) not an external exploit; no credentials or remote access needed,H,"Defeats ALL per-IP security controls simultaneously — rate limiting, blocking, audit — across 100% of traffic",Medium (L/H),Fix: assert header-forwarding in LB config; alert on its absence at boot
T-04,Load Balancer,Process,Denial of Service,Slowloris — attacker holds 50k connections with slow bodies; LB connection pool exhausted,M,Publicly available tooling (slowhttptest); no credentials needed; detectable but not blocked by default LB config,H,Full service outage for all users; SLO breach — 43.8-minute monthly error budget exhausted in one attack,High (M/H),Fix: per-connection read timeout ≤10 s; max concurrent connections per source IP
T-05,cart-api,Process,Spoofing,Non-expiring service-account token used to call /cart/summarise after DIAL_API_KEY leak was never rotated,L,Requires attacker to have already obtained the token via the prior leak — secondary post-breach threat,M,Attacker impersonates an internal service; gains access to cart-api endpoints at service tier,Low,Fix: rotate all service-account tokens; enforce 24-hour TTL
T-06,cart-api,Process,Tampering,Redis cart-state injection — attacker writes tampered payload (negative amounts / discount codes) direct to cache,L,Requires network access to the Redis port or prior Redis credential; Redis should be internal-only,H,Fraudulent checkouts processed at scale for all affected sessions; financial impact plus SOC fraud investigation,Medium (L/H),Fix: authenticate Redis connections; re-validate cart state from Postgres at checkout before committing
T-07,cart-api,Process,Information Disclosure,DIAL_API_KEY emitted in pod logs at DEBUG level — confirmed plaintext in failure-A describe output,H,"Confirmed happening today: env vars visible in kubectl describe; if DEBUG logging active, also in observability logs; requires only observability read access (developer tier)",H,"Live credential exposure: any developer reads DIAL_API_KEY and DATABASE_URL; unlimited DIAL spend up to $16k cap; DATABASE_URL enables full Postgres dump; cart PII exfiltration via crafted prompts",Critical (H/H),"BLAST RADIUS: DIAL_API_KEY — $16,000 cap breach in <1 hour of automated calls; ~3M customer cart sessions per month exposed via prompt injection; DATABASE_URL — full Postgres dump of all orders and user PII for all customers served by this instance; at ~4,000 summarise calls/hour the key was exposed to any of ~20 developers with observability read access. FIX FIRST: rotate DIAL_API_KEY immediately; rotate DATABASE_URL password; disable DEBUG env-var logging; use secretKeyRef (8.W.2 fix)"
T-08,cart-api,Process,Denial of Service,Unauthenticated summarise flood — no per-IP rate limit; 1k req/s fans out to DIAL calls exhausting $16k cap,H,No application-layer rate limit confirmed; any internet user can call the endpoint; no tooling beyond curl needed,H,"$16,000/month DIAL cap exhausted potentially in hours; HTTP 429 returned to all users; full AI feature outage",Critical (H/H),Fix: per-IP and per-session rate limit at cart-api (≤10 summarise/min per session); DIAL alert at $12k fires before cap
T-09,cart-api,Process,Elevation of Privilege,Default service account has get/list/watch on all Secrets — compromised pod reads sibling-service credentials,M,Requires cart-api to be compromised first (e.g. via T-07 or T-13); exploitation after that is a single API call,H,Full namespace secret dump: credentials for payment-api and order-api; complete lateral movement,High (M/H),Fix: bind cart-api to a dedicated service account with minimal RBAC (Secrets access only to cart-api-secrets)
T-10,cart-api → DIAL,Data flow,Information Disclosure,Cart item names and prices leave TB2 in every summarise request body — no DPA Article 28 processor agreement confirmed,H,Happening by design on every call (~3M/month); no exploit needed — structural disclosure at TB2 crossing,M,"GDPR breach risk if provider retains prompts; regulatory fine up to 4% of annual turnover; individual customer PII (items, prices) exposed per call",High (H/M),Fix: confirm DPA with DIAL provider; consider hashing or truncating item names before sending; data minimisation
T-11,EPAM DIAL Gateway,Process,Tampering,Prompt injection — user sets cart item name to instruction text; DIAL passes it unsanitised to LLM,H,"Cart item name is free-text user input; no sanitisation layer mentioned; prompt injection scanners and payloads are publicly documented (PromptInject, OWASP LLM Top 10 #1)",M,"Attacker extracts system prompt; manipulates summary output; may pivot to extract other users' context if session isolation is weak in the gateway",High (H/M),Fix: sanitise item names before embedding in prompt; use structured prompt templates with delimiters; log all injected-looking inputs
T-12,K8s Secrets,Data store,Information Disclosure,etcd encryption at rest not confirmed — cart-api-secrets stored as base64 if unencrypted,L,Requires cluster-admin or direct etcd access; high barrier for external attacker; more of an insider/misconfiguration risk,H,"Complete credential dump: DATABASE_URL + DIAL_API_KEY; same impact as T-07 but via infrastructure path rather than application logs",Medium (L/H),Fix: enable etcd encryption at rest; confirm with ops team; audit who has cluster-admin
T-13,Postgres,Data store,Information Disclosure,SQL injection via order_id path param — unsanitised concatenation returns all customers' order rows,H,"Path parameter injection is a top OWASP finding; automated scanners (sqlmap) detect it without credentials; public endpoint assumed",H,"Full Postgres dump of all orders and user PII across all customers; GDPR-notifiable breach; regulatory fine; reputational damage",Critical (H/H),"Blast radius: all order records and user PII for every customer in the database. Fix: parameterise the query using prepared statements; add integration test asserting the WHERE clause is user-scoped"
T-14,Postgres,Data store,Tampering,Direct DB write via leaked DATABASE_URL bypasses application audit log on order status transitions,L,Requires DATABASE_URL credential (leaked in first-draft manifest / failure-A pod env); insider or post-breach scenario,M,Financial fraud (e.g. status set to refunded); audit integrity compromised; forensic gap; limited to what raw SQL can change,Low,Fix: rotate DATABASE_URL password; restrict Postgres user to application-only permissions; row-level audit trigger
